letter,xl1,yl1,zl1,xl2,yl2,zl2,xl3,yl3,zl3,xl4,yl4,zl4,xl5,yl5,zl5,xl6,yl6,zl6,xl7,yl7,zl7,xl8,yl8,zl8,xl9,yl9,zl9,xl10,yl10,zl10,xl11,yl11,zl11,xl12,yl12,zl12,xl13,yl13,zl13,xl14,yl14,zl14,xl15,yl15,zl15,xl16,yl16,zl16,xl17,yl17,zl17,xl18,yl18,zl18,xl19,yl19,zl19,xl20,yl20,zl20,xl21,yl21,zl21,xr1,yr1,zr1,xr2,yr2,zr2,xr3,yr3,zr3,xr4,yr4,zr4,xr5,yr5,zr5,xr6,yr6,zr6,xr7,yr7,zr7,xr8,yr8,zr8,xr9,yr9,zr9,xr10,yr10,zr10,xr11,yr11,zr11,xr12,yr12,zr12,xr13,yr13,zr13,xr14,yr14,zr14,xr15,yr15,zr15,xr16,yr16,zr16,xr17,yr17,zr17,xr18,yr18,zr18,xr19,yr19,zr19,xr20,yr20,zr20,xr21,yr21,zr21
A,0.566931188,0.593298078,-0.000320863,0.710433781,0.506103277,-0.140934765,0.783224344,0.393464565,-0.232922152,0.750743449,0.298482209,-0.296501786,0.663691401,0.266912669,-0.272606254,0.579378247,0.339013577,-0.143725827,0.539170444,0.266121328,-0.290610462,0.601277113,0.35218823,-0.211696714,0.614262819,0.392138958,-0.105128758,0.456780076,0.372226357,-0.152438194,0.414384693,0.297030121,-0.427238286,0.514138222,0.40409866,-0.380508304,0.515896738,0.427711546,-0.261429995,0.351612717,0.41431421,-0.181024864,0.322983861,0.353532225,-0.429265082,0.429207802,0.450642824,-0.330846608,0.424033731,0.474738955,-0.208197325,0.255593598,0.464945495,-0.221149758,0.232252732,0.408786833,-0.348413706,0.327194333,0.468388855,-0.315153927,0.336930692,0.492581069,-0.277886003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562021136,0.438334465,-0.000233746,0.416765869,0.429831296,-0.147066861,0.279326111,0.346544862,-0.2449653,0.256790578,0.241223305,-0.333408415,0.352191001,0.178687632,-0.34162572,0.362902522,0.225517899,-0.047332376,0.298396111,0.17304714,-0.229683504,0.350305736,0.263486326,-0.168692723,0.396767199,0.292656779,-0.064649843,0.453615487,0.217526898,-0.063370638,0.399088353,0.14796868,-0.358969808,0.433544368,0.274084568,-0.316468209,0.46588096,0.288394868,-0.173940882,0.548153222,0.221613124,-0.116725601,0.503277481,0.151484713,-0.374737442,0.505744338,0.283060849,-0.282571256,0.541437089,0.306015491,-0.143047065,0.647767127,0.236034945,-0.186019003,0.600730658,0.185484394,-0.312555134,0.578838229,0.27365157,-0.277213365,0.606988311,0.299184442,-0.213382617
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53594774,0.469284564,-0.00018363,0.41143465,0.397587597,0.09695226,0.379860193,0.309888124,0.082630619,0.352737606,0.248119235,0.020233428,0.360892355,0.209889248,-0.008974888,0.590093434,0.200066954,0.087930523,0.441542596,0.160406858,0.03253293,0.419792831,0.223685071,0.046336137,0.466074735,0.251068294,0.058839794,0.638666034,0.210163757,-0.021623572,0.426769197,0.16276595,-0.078384489,0.415590763,0.24582544,-0.048977233,0.48272571,0.264673293,-0.014026792,0.648280144,0.225748152,-0.137380749,0.430360407,0.187805176,-0.164085671,0.42809853,0.268706352,-0.108212315,0.495709032,0.28533411,-0.066664867,0.626377583,0.248233229,-0.250757277,0.44246769,0.230527684,-0.234317571,0.441634953,0.294511408,-0.188386157,0.511216462,0.319016129,-0.160868019
A,0.482656628,0.456695199,-0.00019329,0.584985018,0.407235861,-0.054360989,0.636678874,0.333209217,-0.076541737,0.627824366,0.263889939,-0.103802331,0.583860517,0.217590526,-0.115038969,0.556141496,0.282901168,-0.001358409,0.543792903,0.219227001,-0.082950965,0.55113107,0.27773124,-0.09637472,0.55291456,0.317738861,-0.083490171,0.486268133,0.291912735,-0.018727085,0.460027963,0.232026786,-0.136232808,0.483455539,0.303854704,-0.131531715,0.493837059,0.341372669,-0.093249358,0.420107901,0.309117019,-0.053283501,0.393150449,0.249001399,-0.168859482,0.432009935,0.314865589,-0.136928037,0.449267328,0.353595346,-0.093397625,0.354638815,0.334864795,-0.093937717,0.333671987,0.280452937,-0.161311924,0.370964348,0.319238573,-0.154534563,0.39086166,0.349514514,-0.129759282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466808826,0.499434292,-0.000462876,0.305040538,0.488488734,-0.183603868,0.136534005,0.419634044,-0.306735337,0.091876686,0.349026561,-0.398052365,0.194921941,0.317848384,-0.429163337,0.257752895,0.312739402,-0.238954961,0.258961856,0.286935896,-0.395811439,0.278296977,0.361228168,-0.343348056,0.283649564,0.390499383,-0.272578508,0.377801299,0.307330549,-0.232952073,0.395682991,0.290603369,-0.497467816,0.391618341,0.386947691,-0.46704933,0.386896014,0.40206027,-0.384753168,0.490121186,0.316717565,-0.253830075,0.502298415,0.303835869,-0.480911374,0.470060647,0.397968829,-0.400233209,0.465855092,0.415910184,-0.304176331,0.591985106,0.333703786,-0.294508338,0.609172285,0.326938719,-0.418943882,0.564308524,0.390186787,-0.404771239,0.547843456,0.407238305,-0.374708176
A,0.522064805,0.585859537,5.68E-05,0.587334514,0.527175903,-0.085994571,0.591899753,0.464811176,-0.154731601,0.541561842,0.419776678,-0.202141687,0.463552058,0.400870591,-0.227723196,0.529161215,0.424517274,-0.133882657,0.511683822,0.414795101,-0.213499293,0.523781478,0.435930133,-0.185240999,0.518498898,0.43643114,-0.142643407,0.465483546,0.446343631,-0.120891035,0.497269124,0.461982638,-0.223526701,0.535307705,0.505323052,-0.166189313,0.513094187,0.481630981,-0.109507293,0.412894785,0.480822802,-0.127835438,0.44918415,0.496250302,-0.220756441,0.488991946,0.527989089,-0.16943194,0.462614179,0.501827002,-0.125400618,0.367427588,0.518210769,-0.141459435,0.41097194,0.534264922,-0.180070996,0.454024822,0.555422485,-0.16008842,0.431668699,0.537674546,-0.14829199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0.365045696,0.57242012,-0.000220112,0.451297522,0.537720263,-0.027850462,0.508203089,0.487790585,-0.048624326,0.475242943,0.453235805,-0.060144685,0.409028202,0.461603582,-0.045835666,0.483197033,0.449143559,-0.023021322,0.49141115,0.39729166,-0.054826517,0.481792808,0.441572279,-0.024710191,0.473321527,0.467752457,0.008576613,0.431640029,0.448441654,-0.032165669,0.429177165,0.388777584,-0.102973923,0.426875979,0.444406718,-0.095453903,0.423221648,0.471947551,-0.067813165,0.379198879,0.453235924,-0.047213193,0.377298325,0.40568915,-0.108694434,0.383928508,0.460380286,-0.092355072,0.381655991,0.48636961,-0.0673365,0.329588115,0.465024441,-0.062163167,0.332036793,0.428393275,-0.097167462,0.346556813,0.462245077,-0.104374841,0.34910959,0.482076555,-0.099312335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0.381449342,0.473408192,1.02E-05,0.508159578,0.469067246,-0.106853373,0.614913046,0.398025572,-0.169883206,0.664654136,0.29262808,-0.222424001,0.666505575,0.204671726,-0.241373301,0.584919751,0.284553051,-0.020096783,0.605794072,0.215669185,-0.136379495,0.558046401,0.298449427,-0.123866953,0.546871364,0.320333689,-0.06409809,0.502781808,0.267129689,-0.010485391,0.512553632,0.206350654,-0.204029024,0.481007457,0.322046489,-0.191271693,0.494688958,0.322556734,-0.098117471,0.427285194,0.26595512,-0.023777271,0.430166245,0.214622706,-0.2017387,0.423241585,0.324652046,-0.166520774,0.433645725,0.327239871,-0.080568083,0.356527388,0.272062749,-0.044940691,0.362958133,0.235892743,-0.144252628,0.369054735,0.313268095,-0.130443394,0.372015744,0.323612213,-0.075957358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0.395886242,0.549624503,-1.87E-05,0.606031656,0.524027884,-0.135925442,0.78800106,0.452993333,-0.230927929,0.863309681,0.35610953,-0.308002532,0.79384774,0.292530328,-0.312346548,0.674495697,0.361908704,-0.062861443,0.709707201,0.292053938,-0.233075395,0.66373229,0.374014348,-0.184320942,0.643546641,0.3994295,-0.075812906,0.547654152,0.35284695,-0.06814827,0.568913996,0.286455452,-0.36941573,0.534099877,0.405749649,-0.329883754,0.523234546,0.414707601,-0.194311231,0.422943413,0.355350554,-0.109226651,0.435785204,0.292464972,-0.373696148,0.438113332,0.403000027,-0.317559063,0.430992007,0.41650936,-0.199566439,0.303536445,0.364311576,-0.159137905,0.321682692,0.307683706,-0.290972322,0.348065138,0.381235421,-0.264885604,0.341357023,0.40459615,-0.197777048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0.366192997,0.704558134,-8.71E-05,0.524647415,0.678594887,-0.082405828,0.635517478,0.625546396,-0.123296902,0.663324416,0.557533324,-0.146492898,0.623165905,0.518687844,-0.126852214,0.533673525,0.566446364,-0.037213981,0.523092687,0.50118804,-0.128565535,0.517870843,0.560698569,-0.110186242,0.523909986,0.588889778,-0.056945812,0.441666633,0.568241537,-0.034391668,0.429331422,0.503574729,-0.205930412,0.433366358,0.580873847,-0.192900911,0.44027704,0.600369453,-0.115844689,0.35822022,0.578339696,-0.045575343,0.349519312,0.520375013,-0.19599402,0.370710969,0.592755139,-0.152394176,0.374642074,0.607884705,-0.08147645,0.282455862,0.593876719,-0.061489299,0.282246709,0.552975416,-0.138217539,0.308206856,0.599773705,-0.117618188,0.305663645,0.612330258,-0.076912388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
