,A,B,C,Ç,D,E,Ə,F,G,Ğ,H,I,İ,J,K,L,M,N,O,Ö,P,Q,R,S,Ş,T,U,Ü,V,X,Y,Z,Total
@Nigar_Alishzade,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
@muradheydarov,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
@e1000alizade,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
@jhasanov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,14
Samir Aliyev,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
@Khayala_Haziyeva,4,4,4,0,0,0,0,2,0,0,2,2,2,4,2,0,2,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0,38
Kk Kk,0,0,0,0,2,4,0,0,0,2,0,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,0,0,0,0,6,0,32
@Sayali_Yagubova,0,4,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,2,0,0,22
jale,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Ismayilova Elvina,2,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
@nurnajafova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
@tahminaa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4
@frasulov4671,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,8
@javidan_1907,0,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,16
@qasham23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
Xalid!,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ayan,0,0,0,0,0,0,0,0,6,0,0,2,4,2,2,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26
@ba6ayeev,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
Gülağa Abdullazade,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12
@kanuxaa,0,0,0,0,0,0,0,0,2,0,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
@Ehtiram_Maharramli,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
@rahimlinemat,0,0,0,0,0,0,2,0,0,0,4,0,0,2,2,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,2,2,22
@ilkinsharafkhan,0,0,0,12,0,0,0,10,0,0,0,0,0,0,10,12,0,10,0,0,0,10,10,0,0,0,10,10,20,0,0,0,114
@AeSaR1,6,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20
@AbrahamStrange,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,2,14
@luciiforever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,0,10
